Year,WA Total Deaths due to Heart Diseases,WA Total Deaths from Ischemic Heart Diseases,WA Total Deaths from Cerebrovascular Diseases,WA Total Population,WA Heart Disease Mortality Rate,Walla Walla Total Deaths due to Heart Diseases,Walla Walla Total Deaths from Ischemic Heart Diseases,Walla Walla Total Deaths from Cerebrovascular Diseases,Walla Walla Total Population,Walla Walla Heart Disease Mortality Rate
1990,11052,8789,2859,4866692,227.0947083,163,138,34,48439,336.5057082
1991,11001,8727,2944,5021335,219.0851636,141,105,39,50220,280.7646356
1992,11008,8711,3099,5141177,214.1143944,164,125,46,51119,320.8200473
1993,11698,9213,3366,5265688,222.1552056,140,107,71,52812,265.0912671
1994,11028,8622,3301,5364338,205.579887,145,109,48,53836,269.3365035
1995,11158,8621,3467,5470104,203.9814965,131,95,71,53269,245.921643
1996,11621,8946,3717,5567764,208.7193351,141,101,49,55047,256.144749
1997,10946,8354,3545,5663763,193.2637365,117,81,68,55238,211.81071
1998,11302,8535,3587,5750033,196.5553937,143,99,47,55521,257.5602024
1999,11477,8649,3705,5830835,196.8328721,147,98,47,55108,266.7489294
2000,11349,8613,3709,5894141,192.5471413,130,89,50,55180,235.592606
2001,11229,8420,3760,5970330,188.0800559,101,72,53,55102,183.2964321
2002,11117,8305,3757,6059316,183.4695533,135,84,66,55242,244.3792766
2003,11154,8240,3588,6126885,182.0500956,139,95,51,55560,250.1799856
2004,10626,7651,3238,6208515,171.1520388,129,93,41,56167,229.6722275
2005,10913,7734,2883,6298816,173.2547831,137,87,58,57005,240.3297956
2006,10551,7264,2711,6420258,164.3391901,127,82,38,57224,221.9348525
2007,10957,7384,2681,6525086,167.9211584,123,70,37,57754,212.9722617
2008,10867,7429,2765,6608244,164.446107,142,87,36,58063,244.5619413
2009,10536,7202,2584,6672159,157.9099059,128,85,31,58561,218.5755025
2010,10528,6961,2529,6724540,156.5608949,136,77,37,58781,231.3672785
2011,10408,6766,2554,6767900,153.7847781,90,54,34,58800,153.0612245
2012,10337,6486,2513,6817770,151.6184911,124,60,31,59100,209.8138748
2013,10346,6334,2610,6882400,150.3254679,103,71,28,59500,173.1092437
2014,10674,6637,2644,6968170,153.1822559,135,79,38,60150,224.4389027
2015,10986,6338,2693,7061410,155.5779936,115,54,26,60650,189.6125309
2016,11026,6369,2886,7183700,153.486365,110,58,29,60730,181.12959
2017,11532,6670,3016,7310300,157.7500239,102,66,41,61400,166.1237785
2018,11652,6792,2893,7427570,156.8749941,113,77,33,61800,182.8478964
2019,11859,6759,3032,7546410,157.1475708,116,61,28,62200,186.4951768
2020,12082,6938,3085,7707047,156.7656198,119,60,26,62584,190.1444459
2021,12788,7415,3194,7766975,164.6458241,94,52,33,62100,151.3687601